Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
-,Потапенко Сергей,,,1969,91.2,,,,,180,180,-190,-190,180,,,,-,
-,Гуцев Александр,,,1986,92.25,,,,,155,155,160,-162.5,160,,,,-,
-,Семенов Александр,,,1985,92.7,,,,,195,195,-202.5,-202.5,195,,,,-,
-,Юрганов Александр,,,1980,85.95,,,,,-150,-150,-152.5,-152.5,-,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Мелюх Сергей,,,1982,104.45,295,-310.5,310.5,310.5,195,195,202.5,-207.5,202.5,290,-308,315,315,828
2,Макаров Александр,,,1994,104.25,210,230,245,245,200,200,210,215,215,240,260,272.5,272.5,732.5
3,Миркин Юрий,,,1971,97,230,245,255,255,190,190,195,-200,195,-280,280,-290,280,730
4,Буркунов Юрий,,,1989,103.55,240,250,-255,250,185,185,-192.5,192.5,192.5,257.5,277.5,-290,277.5,720
5,Тестов Сергей,,,1987,98.25,220,-235,235,235,160,160,-170,170,170,280,295,305,305,710
6,Созинов Павел,,,1984,98.55,215,230,240,240,165,165,172.5,175,175,215,235,250,250,665
7,Назаров Алексей,,,1991,103.65,200,215,220,220,160,160,170,,170,220,235,-250,235,625
8,Сипачев Иван,,,1986,104.35,200,210,-220,210,165,165,172.5,-175,172.5,210,220,225,225,607.5
9,Макаров Михаил,,,1985,98.25,195,-205,-205,195,140,140,150,-155,150,240,260,-270,260,605
10,Тиунов Артем,,,1990,101.95,175,190,200,200,135,135,-145,,135,185,200,217.5,217.5,552.5
11,Дикусар Сергей,,,1992,96.7,175,185,195,195,110,110,117.5,122.5,122.5,180,195,210,210,527.5
12,Меньшиков Николай,,,1994,97.05,185,-192.5,,185,120,120,-125,,120,180,190,200,200,505
13,Шульга Алексей,,,1995,94.6,165,175,182.5,182.5,105,105,110,115,115,-190,190,200,200,497.5
14,Павлов Антон,,,1987,99.8,165,170,177.5,177.5,115,115,125,-135,125,180,190,195,195,497.5
15,Овчинников Максим,,,1990,102.9,160,170,180,180,100,100,100,-110,100,170,190,200,200,480
16,Комзин Данил,,,1977,98.1,140,-150,-155,140,135,135,150,-160,150,160,-170,-170,160,450
-,Фролов Иван,,,1982,96.35,,,,,115,115,-120,120,120,,,,-,
-,Синчинов Александр,,,1989,97,,,,,145,145,-150,-150,145,,,,-,
-,Муха Виталий,,,1985,100.3,,,,,185,185,192.5,-200,192.5,,,,-,
-,Пушкарев Михаил,,,1987,101.45,,,,,135,135,-142.5,145,145,,,,-,
-,Дегтярёв Сергей,,,1992,104.6,,,,,200,200,207.5,215,215,,,,-,
