26/06/2018,WPC POWER CLASSIC-Kg Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3, Squat  4,,Bench 1,Bench 2,Bench 3,Bench 4,,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON Alan GB,37,M_O_CR_WPC,99.2,100,285,-300,-300,,,130,135,-142.5,,,260,270,282.5,,702.5,409.76825,0,7-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO BING HUANG Grégoire FRA,35,M_O_CR_WPC,98.2,100,-250,-250,250,,,145,-150,-150,,,305,-330,,,700,410.095,0,8-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAKOVLJEVIC Stefan SWI,27,M_O_CR_WPC,98.5,100,-240,240,-260,,,150,160,-170,,,270,285,300,,700,409.535,0,9-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHALON Marc FRA,40,M_O_CR_WPC,99.7,100,-250,-262.5,262.5,,,145,160,-170,,,250,260,275,,697.5,405.979875,405.979875,10-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYONS Joe GB,30,M_O_CR_WPC,98.7,100,240,260,-265,,,155,-162.5,162.5,,,240,250,260,,682.5,398.955375,0,11-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMONEN Timo FIN,40,M_O_CR_WPC,97.9,100,287.5,-312.5,-312.5,,,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTINEZ Daniel ESP,43,M_O_CR_WPC,105.8,110,340,-362.5,372.5,,,180,-192.5,,,,170,250,287.5,,840,478.128,492.949968,1-M_O_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGUERA SAINZ Cesar ESP,33,M_O_CR_WPC,108.4,110,310,-330,-330,,,210,220,227.5,,,-300,300,,,837.5,473.061875,0,2-M_O_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGESILAS Maurice FRA,31,M_O_CR_WPC,110,110,260,-280,-280,,,190,200,-215,,,-300,300,-315,,760,427.5,0,3-M_O_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOODY Aron GB,29,M_O_CR_WPC,104.4,110,255,-275,-275,,,155,-165,-165,,,260,272.5,-282.5,,682.5,390.2535,0,4-M_O_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSON David-John GB,29,M_O_CR_WPC,104.9,110,200,-220,235,,,150,160,167.5,,,240,255,270,,672.5,384.501875,0,5-M_O_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CETOUT Naël FRA,28,M_O_CR_WPC,105.2,110,-270,-270,-270,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUSKOV Hristo BUL,32,M_O_CR_WPC,117.7,125,290,300,310,,,160,170,180,,,330,-340,,,820,453.706,0,1-M_O_CR_WPC-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERNANDEZ LINARES Santiago ESP,37,M_O_CR_WPC,110.1,125,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT Bradley GB,29,M_O_CR_WPC,130.9,140,290,305,-310,,,182.5,192.5,-200,,,290,302.5,310,,807.5,436.05,0,1-M_O_CR_WPC-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
