WeightClassKg,Division,Sex,Name,BirthYear,BodyweightKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Equipment,Event
90,Masters 2,M,Petrenz Andreas,1956,83.5,220.0,230.0,-245.0,230.0,230.0,1,Single-ply,D
90,Masters 2,M,Weidemeier Wolfgang,1954,88.8,215.0,225.0,-245.0,225.0,225.0,2,Single-ply,D
90,Masters 2,M,Thorandt Detlef,1957,90.0,180.0,-200.0,-200.0,180.0,180.0,3,Single-ply,D
100,Masters 2,M,Weiser Alois,1949,96.3,235.0,247.5,255.0,255.0,255.0,1,Single-ply,D
100,Masters 2,M,Slosarek Krystian,1958,97.7,240.0,-250.0,-257.5,240.0,240.0,2,Single-ply,D
100,Masters 2,M,Waidmann Gustav,1953,91.5,210.0,235.0,-240.0,235.0,235.0,3,Single-ply,D
100,Masters 2,M,Schoch Horst-Dieter,1953,100.0,200.0,212.5,-222.5,212.5,212.5,4,Single-ply,D
110,Masters 2,M,Pinekenstein Kamal,1949,108.1,230.0,240.0,250.0,250.0,250.0,1,Single-ply,D
110,Masters 2,M,Kapplinghaus Stefan,1956,101.0,210.0,-220.0,,210.0,210.0,2,Single-ply,D
125,Masters 2,M,Brosda Uwe,1955,112.6,285.0,307.5,-312.5,307.5,307.5,1,Single-ply,D
125+,Masters 2,M,Küster Rudolf,1955,126.1,275.0,305.0,310.0,310.0,310.0,1,Single-ply,D
125+,Masters 2,M,May Karl-Heinz,1953,126.8,190.0,210.0,220.0,220.0,220.0,2,Single-ply,D
125+,Masters 2,M,Bruhn Klaus,1953,127.8,165.0,175.0,180.0,180.0,180.0,3,Single-ply,D
60,Masters 3,M,Reusch Ernst,1940,59.9,135.0,145.0,152.5,152.5,152.5,1,Single-ply,D
60,Masters 3,M,Funke Friedel,1939,57.6,100.0,110.0,117.5,117.5,117.5,2,Single-ply,D
67.5,Masters 3,M,Hökendorf Wolfgang,1946,66.7,140.0,150.0,160.0,160.0,160.0,1,Single-ply,D
67.5,Masters 3,M,Kovarna Heinz,1944,67.5,127.5,-137.5,137.5,137.5,137.5,2,Single-ply,D
67.5,Masters 3,M,Mielich Ulrich,1939,66.5,120.0,125.0,130.0,130.0,130.0,3,Single-ply,D
75,Masters 3,M,Güntert Ernst,1948,72.8,190.0,206.0,-212.5,206.0,206.0,1,Single-ply,D
75,Masters 3,M,Rühlemann Helmut,1947,74.6,-160.0,160.0,170.0,170.0,170.0,2,Single-ply,D
82.5,Masters 3,M,Häusler Wilfried,1942,75.5,180.0,190.0,200.0,200.0,200.0,1,Single-ply,D
82.5,Masters 3,M,Bauer Hartmut,1945,78.2,170.0,182.5,187.5,187.5,187.5,2,Single-ply,D
90,Masters 3,M,Lüdecke Günter,1948,83.5,215.0,227.5,232.5,232.5,232.5,1,Single-ply,D
90,Masters 3,M,Reitze Karl,1944,84.6,180.0,195.0,-207.5,195.0,195.0,2,Single-ply,D
100,Masters 3,M,Herrmann Werner,1940,93.4,212.5,222.5,-230.0,222.5,222.5,1,Single-ply,D
100,Masters 3,M,Bohrisch Lothar,1944,92.6,190.0,205.0,-212.5,205.0,205.0,2,Single-ply,D
100,Masters 3,M,Krause Lothar,1943,96.2,180.0,200.0,-207.5,200.0,200.0,3,Single-ply,D
110,Masters 3,M,Kennerknecht Xaver,1946,108.5,220.0,245.0,-261.0,245.0,245.0,1,Single-ply,D
110,Masters 3,M,Stelter Andreas,1947,106.1,170.0,180.0,,180.0,180.0,2,Single-ply,D
67.5,Masters 4,M,Gröll Reinhard,1935,67.1,190.0,196.0,200.0,200.0,200.0,1,Single-ply,D
67.5,Masters 4,M,Szloboda Dezsö,1937,65.1,170.0,180.0,185.0,185.0,185.0,2,Single-ply,D
75,Masters 4,M,Schneider Hans,1937,74.7,130.0,140.0,150.0,150.0,150.0,1,Single-ply,D
75,Masters 4,M,Meyerhofer Gerd,1938,74.0,105.0,115.0,125.0,125.0,125.0,2,Single-ply,D
82.5,Masters 4,M,Renn Dieter,1935,80.6,190.0,205.0,213.5,213.5,213.5,1,Single-ply,D
90,Masters 4,M,Behncke Hans,1935,88.1,120.0,130.0,140.0,140.0,140.0,1,Single-ply,D
100,Masters 4,M,Feldmann Klaus,1936,99.4,160.0,170.0,172.5,172.5,172.5,1,Single-ply,D
110,Masters 4,M,Efinger Werner,1935,102.5,185.0,200.0,207.5,207.5,207.5,1,Single-ply,D
125,Masters 4,M,Attelmann Rudolf,1936,114.1,170.0,185.0,-192.5,185.0,185.0,1,Single-ply,D
