Place,Name,Sex,Country,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Points,BirthDate,BirthYear
1,Geert Vroonen,M,BE,Raw,Open,104.2,105,225,242.5,250,250,165,177.5,-185,177.5,260,282.5,295,295,722.5,89.52
2,Rob Laethem,M,BE,Raw,Open,96.2,105,210,225,-232.5,225,150,-160,160,160,240,252.5,-260,252.5,637.5,82.04
3,Stanley Agten,M,BE,Raw,Open,103.3,105,195,205,-212.5,205,125,130,-135,130,250,252.5,260,260,595,74.02
4,Bram Cuppens,M,BE,Raw,Open,95,105,-195,-200,200,200,135,142.5,-147.5,142.5,220,232.5,245,245,587.5,76.07
5,Damien Spleeters,M,BE,Raw,Open,100.9,105,177.5,185,195,195,115,122.5,127.5,127.5,237.5,252.5,-260,252.5,575,72.33
6,Jord Gabriël,M,BE,Raw,Open,100.9,105,-180,180,190,190,140,147.5,-152.5,147.5,215,225,235,235,572.5,72.02
7,Alain Neyt,M,BE,Raw,Open,104.4,105,165,175,185,185,157.5,163,-165,163,190,205,220,220,568,70.32
8,Stef Bertels,M,BE,Raw,Open,102.9,105,180,190,197.5,197.5,120,127.5,-132.5,127.5,190,212.5,222.5,222.5,547.5,68.24
9,Robbert Mahieu,M,BE,Raw,Open,93.6,105,170,185,200,200,110,120,-125,120,190,205,-217.5,205,525,68.47
10,Mike Cuypers,M,BE,Raw,Open,93.3,105,170,180,-185,180,115,125,-132.5,125,180,187.5,195,195,500,65.31
11,Rik Vandenbergh,M,BE,Raw,Open,94.4,105,162.5,170,175,175,100,107.5,-115,107.5,170,-180,190,190,472.5,61.37
12,Bart Potters,M,BE,Raw,Open,103.4,105,-132.5,135,140,140,95,100,102.5,102.5,155,160,167.5,167.5,410,50.98
13,Wesley Van Rompaey,M,BE,Raw,Open,103.4,105,110,-120,125,125,75,82.5,-87.5,82.5,150,160,175,175,382.5,47.56
1,Jonas Deseins,M,BE,Raw,Open,113.5,120,175,182.5,192.5,192.5,105,115,-122.5,115,200,215,225,225,532.5,63.45
1,Evans Aryee,M,BE,Raw,Open,132,120+,275,295,305,305,170,180,190,190,325,338,-345.5,338,833,92.99
1,maxim de ro,M,BE,Raw,Sub-Juniors,49.1,53,55,60,62.5,62.5,42.5,45,-47.5,45,85,90.5,,90.5,198,36.17
1,Kobe De Win,M,BE,Raw,Sub-Juniors,64.6,66,140,150,160,160,77.5,82.5,87.5,87.5,185,206,-212.5,206,453.5,71.50
1,Patryk Mondre,M,POL,Raw,Sub-Juniors,81.9,83,130,140,-150,140,-75,75,80,80,150,160,165,165,385,53.66
1,Louis Casier,M,BE,Raw,Sub-Juniors,86.4,93,140,150,-160,150,-90,97.5,102.5,102.5,210,-230,230,230,482.5,65.46
2,Lander Robben,M,BE,Raw,Sub-Juniors,88.6,93,112.5,120,-125,120,67.5,72.5,-75,72.5,142.5,152.5,162.5,162.5,355,47.56
1,robert ivanoushkin,M,BE,Single-ply,Juniors,82.1,83,245,-252.5,,245,-135,140,,140,200,215,-230,215,600,69.73
1,robert ivanoushkin,M,BE,Single-ply,Open,82.1,83,245,-252.5,,245,-135,140,,140,200,215,-230,215,600,69.73
DQ,lieven de saedeleer,M,BE,Single-ply,Open,101,105,310,,,310,-260,-260,-260,,245,255,265,265,,59.84
1,chesney goosens,M,BE,Raw,Open,73.5,74,,,,,175,177.5,-180,177.5,,,,,177.5,95.00
1,Zyen Blockx,M,BE,Raw,Open,88.5,93,,,,,95,-105,-105,95,,,,,95,46.19
1,Gunnar De Vadder,M,BE,Raw,Open,163.7,120+,,,,,232.5,240,-245,240,,,,,240,89.91
