Name,Sex,Equipment,BodyweightKg,WeightClassKg,BirthYear,Division,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event
Pauline Leonie Scholzgart,F,Raw,55.4,57,1997,Juniors,95.0,-102.5,-102.5,95.0,45.0,47.5,50.0,50.0,105.0,-110.0,110.0,110.0,255.0,2,SBD
Frederike Kraemer,F,Raw,63.0,63,1996,Juniors,85.0,-90.0,-90.0,85.0,50.0,52.5,55.0,55.0,95.0,102.5,110.0,110.0,250.0,1,SBD
Laura Heintz,F,Raw,60.0,63,1996,Juniors,77.5,82.5,-85.0,82.5,40.0,45.0,-47.5,45.0,80.0,85.0,-90.0,85.0,212.5,2,SBD
Sophie Täger,F,Raw,70.3,72,2000,Juniors,112.5,120.0,127.5,127.5,55.0,57.5,60.0,60.0,105.0,120.0,132.5,132.5,320.0,1,SBD
Janina Fölsche,F,Raw,67.9,72,1996,Juniors,100.0,107.5,112.5,112.5,55.0,-57.5,60.0,60.0,130.0,137.5,145.0,145.0,317.5,2,SBD
Whitney Erara,F,Raw,69.9,72,1998,Juniors,102.5,110.0,115.0,115.0,70.0,72.5,75.0,75.0,115.0,125.0,135.0,135.0,325.0,G,SBD
Simon Keil,M,Raw,72.9,74,1982,Open,160.0,167.5,-175.0,167.5,100.0,110.0,-115.0,110.0,195.0,205.0,215.0,215.0,492.5,1,SBD
Thomas Terbeck,M,Single-ply,81.0,83,1981,Open,150.0,170.0,-185.0,170.0,112.5,115.0,117.5,117.5,225.0,235.0,240.0,240.0,527.5,1,SBD
Niklas Thelen,M,Raw,81.7,83,1993,Open,170.0,180.0,190.0,190.0,125.0,132.5,140.0,140.0,240.0,255.0,265.0,265.0,595.0,1,SBD
Robin Schmeing,M,Raw,81.9,83,1995,Open,190.0,200.0,207.5,207.5,-125.0,125.0,-135.0,125.0,195.0,205.0,212.5,212.5,545.0,2,SBD
Joseph Ng,M,Raw,79.2,83,1991,Open,165.0,-180.0,180.0,180.0,105.0,-110.0,110.0,110.0,210.0,220.0,230.0,230.0,520.0,3,SBD
Alexander Gegner,M,Raw,80.6,83,1988,Open,165.0,172.5,-177.5,172.5,110.0,117.5,120.0,120.0,195.0,205.0,210.0,210.0,502.5,4,SBD
Lucas Neusser,M,Raw,80.7,83,1990,Open,177.5,187.5,-195.0,187.5,-125.0,125.0,130.0,130.0,185.0,-195.0,-205.0,185.0,502.5,5,SBD
Yunus Celik,M,Raw,74.6,83,1992,Open,175.0,180.0,187.5,187.5,100.0,107.5,-110.0,107.5,180.0,190.0,-200.0,190.0,485.0,6,SBD
Christian Schlebusch,M,Raw,80.2,83,1991,Open,145.0,155.0,162.5,162.5,,70.0,75.0,75.0,182.5,192.5,200.0,200.0,437.5,7,SBD
Faisal Yassin,M,Raw,91.6,93,1987,Open,200.0,210.0,215.0,215.0,142.5,-150.0,-150.0,142.5,242.5,257.5,272.5,272.5,630.0,1,SBD
Philipp Quenzel,M,Raw,91.0,93,1994,Open,200.0,210.0,215.0,215.0,140.0,150.0,152.5,152.5,240.0,255.0,260.0,260.0,627.5,2,SBD
Frederic Maurice Klapdor,M,Raw,90.4,93,1995,Open,190.0,200.0,210.0,210.0,130.0,137.5,145.0,145.0,220.0,240.0,-250.0,240.0,595.0,3,SBD
Moritz Kröner,M,Raw,90.4,93,1990,Open,192.5,202.5,-207.5,202.5,152.5,160.0,167.5,167.5,200.0,215.0,-227.5,215.0,585.0,4,SBD
Pascal Schneider,M,Raw,91.9,93,1991,Open,-210.0,-210.0,210.0,210.0,130.0,135.0,-142.5,135.0,240.0,-250.0,,240.0,585.0,5,SBD
Ken Gildner,M,Raw,90.1,93,1984,Open,185.0,195.0,-202.5,195.0,130.0,135.0,-142.5,135.0,230.0,240.0,250.0,250.0,580.0,6,SBD
Moses August,M,Raw,91.8,93,1992,Open,190.0,200.0,-210.0,200.0,142.5,147.5,150.0,150.0,225.0,,,225.0,575.0,7,SBD
Matthias Drobeck,M,Raw,90.9,93,1981,Open,-187.5,187.5,195.0,195.0,117.5,125.0,132.5,132.5,220.0,235.0,245.0,245.0,572.5,8,SBD
Benjamin Glahn,M,Raw,88.7,93,1989,Open,195.0,205.0,-212.5,205.0,125.0,132.5,-137.5,132.5,202.5,212.5,-225.0,212.5,550.0,9,SBD
Jonas Rösner,M,Raw,91.2,93,1993,Open,185.0,195.0,200.0,200.0,115.0,120.0,125.0,125.0,200.0,215.0,225.0,225.0,550.0,10,SBD
Jan Schwandowski,M,Raw,91.9,93,1989,Open,160.0,-175.0,-190.0,160.0,150.0,160.0,-165.0,160.0,200.0,220.0,230.0,230.0,550.0,11,SBD
Stanley Khariakov,M,Raw,86.4,93,1989,Open,180.0,190.0,197.5,197.5,125.0,132.5,140.0,140.0,185.0,200.0,-210.0,200.0,537.5,12,SBD
