Place,Name,Sex,Division,WeightClassKg,Equipment,BirthYear,BirthDate,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
6,Ivan William Viray,M,J,74,Raw,2001,,,72.7,145,150,157.5,157.5,97.5,105,-110,105,172.5,180,190,190,452.5,SBD
7,Allen Andro Animos,M,J,74,Raw,2004,,,69.55,150,155,157.5,157.5,95,-102.5,102.5,102.5,180,187.5,-195,187.5,447.5,SBD
8,Matthew Wilfred Barrientos,M,J,74,Raw,2001,,,71.6,-160,160,-170,160,80,82.5,87.5,87.5,185,190,195,195,442.5,SBD
9,Shan Mathew Tuazon,M,J,74,Raw,2004,,,73.9,150,155,160,160,65,70,-72.5,70,165,-172.5,-175,165,395,SBD
10,Raj Reiner Cattiling,M,J,74,Raw,2004,,,73.9,145,152.5,-157.5,152.5,65,70,-72.5,70,-150,160,-167.5,160,382.5,SBD
DQ,James Emmanuel Sy,M,J,74,Raw,2001,,,73.25,225,235,-245,235,120,130,-135,130,-285,-285,-285,,,SBD
1,Mark Jason Galauran,M,J,83,Raw,2002,,,81.6,232.5,250,-252.5,250,150,160,-170.5,160,260,-280,280,280,690,SBD
2,Irvinne Fritz Espinosa,M,J,83,Raw,2000,,,82.58,195,-202.5,-202.5,195,122.5,132.5,-137.5,132.5,260,272.5,-285,272.5,600,SBD
3,Angelo Noe Panerio,M,J,83,Raw,2000,,,79.3,215,227.5,-232.5,227.5,115,120,-122.5,120,230,240,-257.5,240,587.5,SBD
4,Emmanuel Ray Medalle,M,J,83,Raw,2000,,,81.65,180,-190,190,190,122.5,127.5,132.5,132.5,217.5,227.5,232.5,232.5,555,SBD
5,Joseph Vincent Jerusalem,M,J,83,Raw,2003,,,82.1,197.5,205,-210,205,110,115,-120,115,-220,220,232.5,232.5,552.5,SBD
6,Jan Kezia Ezekiel Suarez,M,J,83,Raw,2001,,,77.25,185,195,-205,195,105,110,115,115,220,235,240,240,550,SBD
7,Patrick David,M,J,83,Raw,2003,,,82.55,-180,180,-195,180,-120,125,-130,125,230,-240,240,240,545,SBD
8,Aaron Joshua Figuera,M,J,83,Raw,2000,,,75.7,180,190,-200,190,107.5,115,120,120,192.5,205,215,215,525,SBD
9,Renzo Basiao,M,J,83,Raw,2003,,,,65,140,165,165,102.5,105,112.5,112.5,165,190,-205,190,467.5,SBD
10,Daniel Ralph Bitas,M,J,83,Raw,2004,,,80.4,145,155,-167.5,155,100,-105,105,105,180,-200,200,200,460,SBD
11,Jose Jericho Acot,M,J,83,Raw,2002,,,,150,160,-170,160,85,87.5,92.5,92.5,190,-205,205,205,457.5,SBD
12,Dwight Michael Marajas,M,J,83,Raw,2000,,,81.7,137.5,145,155,155,92.5,100,,100,192.5,197.5,-202.5,197.5,452.5,SBD
