Place,Event,Name,BodyweightKg,WeightClassKg,Sex,Division,Equipment,Age,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg
1,D,Olavi Rintanen,108.7,110,M,Masters 60-64,Raw,64,,,,,,270,290,312.5,,312.5,312.5
1,D,Jarmo Tuomiranta,72.2,75,M,Masters 55-59,Raw,57,,,,,,155,160,167.5,,167.5,167.5
1,D,Rane Ovaska,81.2,82.5,M,Masters 55-59,Raw,59,,,,,,-200,210,216,220,216,216
1,D,Pekka Anttila,89.3,90,M,Masters 50-54,Raw,54,,,,,,183,187.5,193,200,193,193
1,D,Juhani Krkkinen,99.6,100,M,Masters 55-59,Raw,59,,,,,,210,225,240,,240,240
1,D,Tomi Reijonen,71.7,75,M,Teen 13-15,Raw,14,,,,,,135,145,155,165,155,155
1,D,Otto Doering,78.9,82.5,M,Teen 13-15,Raw,15,,,,,,145,155,165,175,165,165
1,D,Totte Salmi,59.6,60,M,Masters 40-44,Raw,44,,,,,,175,185,190,,190,190
1,D,Vesa Jrvelinen,74.1,75,M,Masters 40-44,Raw,43,,,,,,200,225,240,,240,240
2,D,Jani Vaskelainen,74.7,75,M,Masters 40-44,Raw,44,,,,,,205,215,220,,220,220
3,D,Jyrki Marttala,72.7,75,M,Masters 40-44,Raw,42,,,,,,200,210,217.5,,217.5,217.5
4,D,Pasi Pohjola,73.2,75,M,Masters 40-44,Raw,41,,,,,,170,180,185,,185,185
1,D,Rami Eerikinen,82.5,82.5,M,Masters 45-49,Raw,45,,,,,,255,270,280,,280,280
2,D,Markus Gren,81.4,82.5,M,Masters 45-49,Raw,47,,,,,,180,192.5,-202.5,,192.5,192.5
3,D,Jorma Mononen,81.1,82.5,M,Masters 45-49,Raw,45,,,,,,170,185,-200,,185,185
1,D,Miika Sutinen,89.5,90,M,Masters 45-49,Raw,45,,,,,,235,251,257.5,-260.5,257.5,257.5
2,D,Mikko Mntymki,89.2,90,M,Masters 45-49,Raw,47,,,,,,240,252.5,255,260,255,255
3,D,Markus Auvinen,89.3,90,M,Masters 40-44,Raw,44,,,,,,220,230,-240,,230,230
1,D,Markus Koivuniemi,99.4,100,M,Masters 45-49,Raw,47,,,,,,250,285,,,285,285
2,D,Jari-Pekka Suominen,98.6,100,M,Masters 45-49,Raw,47,,,,,,230,240,250,,250,250
3,D,Jukka Mertaniemi,97.8,100,M,Masters 40-44,Raw,40,,,,,,220,230,245,,245,245
